carat,cut,color,clarity,depth,table,price,x,y,z,x*y*z
1.21,2-Premium,7-J,5-VS2,62.4,58.0,4268,6.83,6.79,4.25,197.09672500000002
0.32,3-Very Good,5-H,5-VS2,63.0,57.0,505,4.35,4.38,2.75,52.39574999999999
0.71,5-Fair,4-G,4-VS1,65.5,55.0,2686,5.62,5.53,3.65,113.43689
0.41,4-Good,1-D,6-SI1,63.8,56.0,738,4.68,4.72,3.0,66.2688
1.02,1-Ideal,4-G,6-SI1,60.5,59.0,4882,6.55,6.51,3.95,168.42997499999998
1.52,1-Ideal,3-F,7-SI2,61.2,57.0,9057,7.45,7.39,4.54,249.95197000000002
1.01,5-Fair,5-H,5-VS2,65.2,56.0,3733,6.23,6.19,4.05,156.182985
1.52,1-Ideal,7-J,4-VS1,62.3,58.0,8608,7.32,7.35,4.57,245.87514000000002
0.31,1-Ideal,5-H,4-VS1,61.8,54.2,557,4.33,4.37,2.69,50.900449
1.14,1-Ideal,4-G,6-SI1,61.7,56.0,6741,6.71,6.75,4.15,187.963875
0.44,2-Premium,2-E,6-SI1,62.3,59.0,1040,4.88,4.84,3.03,71.566176
1.02,2-Premium,6-I,6-SI1,58.0,58.0,4284,6.84,6.6,3.9,176.0616
0.93,1-Ideal,6-I,7-SI2,62.3,57.0,3101,6.2,6.22,3.87,149.24268
1.51,2-Premium,4-G,4-VS1,60.1,58.0,14507,7.48,7.45,4.49,250.20974000000004
1.65,1-Ideal,5-H,7-SI2,61.6,55.0,10349,7.58,7.62,4.68,270.31492799999995
1.5,4-Good,4-G,7-SI2,57.5,63.0,6006,7.53,7.49,4.32,243.64670400000003
0.43,1-Ideal,1-D,4-VS1,62.1,56.0,1207,4.85,4.87,3.02,71.33089
0.38,2-Premium,4-G,5-VS2,60.8,61.0,983,4.66,4.65,2.83,61.323270000000015
0.85,1-Ideal,6-I,4-VS1,61.9,56.0,3548,6.08,6.1,3.77,139.82176
1.53,2-Premium,1-D,7-SI2,60.7,60.0,11078,7.45,7.41,4.51,248.972295
1.54,2-Premium,5-H,5-VS2,61.0,60.0,11177,7.46,7.42,4.54,251.303528
0.71,2-Premium,4-G,7-SI2,62.0,59.0,1740,5.69,5.65,3.52,113.16272000000002
0.3,3-Very Good,4-G,4-VS1,61.7,56.0,605,4.29,4.33,2.66,49.411362000000004
1.3,1-Ideal,4-G,1-IF,61.3,56.0,12932,7.03,7.06,4.32,214.409376
0.3,2-Premium,4-G,6-SI1,62.9,59.0,574,4.28,4.24,2.68,48.634496000000006
1.0,1-Ideal,6-I,7-SI2,61.7,56.0,2873,6.45,6.41,3.97,164.13766500000003
1.0,2-Premium,4-G,5-VS2,61.6,54.0,6216,6.49,6.46,3.99,167.28234600000002
0.9,2-Premium,1-D,6-SI1,61.7,56.0,3568,6.16,6.09,3.78,141.804432
1.55,3-Very Good,5-H,6-SI1,63.2,57.0,7066,7.35,7.31,4.64,249.30023999999997
1.01,2-Premium,5-H,7-SI2,61.1,60.0,3054,6.46,6.41,3.93,162.73579800000002
1.16,2-Premium,4-G,7-SI2,62.5,58.0,4969,6.72,6.68,4.19,188.087424
0.35,1-Ideal,5-H,2-VVS1,62.0,53.9,743,4.5,4.53,2.8,57.078
0.97,1-Ideal,5-H,2-VVS1,60.4,57.0,6801,6.4,6.48,3.89,161.32608000000005
1.19,1-Ideal,2-E,7-SI2,60.2,57.0,5717,6.84,6.87,4.13,194.072004
0.7,3-Very Good,5-H,4-VS1,62.1,56.0,2422,5.65,5.68,3.52,112.96383999999999
0.8,3-Very Good,5-H,6-SI1,63.2,54.0,2553,5.93,5.88,3.73,130.059132
2.0,2-Premium,6-I,7-SI2,61.3,59.0,14208,8.13,8.09,4.97,326.885349
0.71,3-Very Good,2-E,5-VS2,63.5,59.0,2858,5.68,5.59,3.58,113.66929599999999
1.0,2-Premium,3-F,6-SI1,60.3,58.0,5292,6.47,6.43,3.89,161.832169
0.5,1-Ideal,2-E,7-SI2,62.4,57.0,1240,5.07,5.03,3.15,80.331615
0.51,1-Ideal,4-G,3-VVS2,61.3,57.0,1875,5.12,5.15,3.15,83.0592
1.04,2-Premium,4-G,7-SI2,62.2,59.0,3861,6.57,6.49,4.06,173.115558
0.64,1-Ideal,4-G,3-VVS2,61.8,54.0,2587,5.53,5.56,3.42,105.154056
0.8,1-Ideal,2-E,5-VS2,62.2,57.0,3648,5.95,5.98,3.71,132.00551000000002
0.3,1-Ideal,1-D,6-SI1,61.9,56.0,552,4.28,4.31,2.66,49.068488
